entry_id,src_oui,src2dst_transmission_rate_ms,src2dst_transmission_rate_bytes_ms,src2dst_total_packets,src2dst_total_duration_ms,src2dst_total_bytes,src2dst_stdev_ps,src2dst_min_ps,src2dst_mean_ps,src2dst_max_ps,protocol,dst_oui,dst2src_transmission_rate_ms,dst2src_transmission_rate_bytes_ms,dst2src_total_packets,dst2src_total_duration_ms,dst2src_total_bytes,dst2src_stdev_ps,dst2src_min_ps,dst2src_mean_ps,dst2src_max_ps,bidirectional_transmission_rate_ms,bidirectional_transmission_rate_byte_ms,bidirectional_total_packets,bidirectional_total_duration_ms,bidirectional_total_bytes,bidirectional_stdev_ps,bidirectional_min_ps,bidirectional_mean_ps,bidirectional_max_ps,label
929765,Texas Instruments,9.68145693231198e-05,0.0046793708506174,57,588754.3620605469,2755.0,1.8856180831641267,47.0,48.333333333333336,51.0,z,Broadcast,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,router
929766,GreenPeak Technologies,0.0002539555817449,0.0139830002408059,148,582779.0788574219,8149.0,6.264686907203626,51.0,55.060810810810814,65.0,z,Broadcast,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,smart_speaker
929767,GreenPeak Technologies,0.0002647560840685,0.0145480073886875,156,589221.5869140625,8572.0,6.299974431973831,51.0,54.94871794871795,65.0,z,Broadcast,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,smart_speaker
929768,Texas Instruments,9.851281832758368e-05,0.0047591882233429,58,588755.8693847656,2802.0,1.877332081216028,47.0,48.310344827586206,51.0,z,Broadcast,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,router
929769,Texas Instruments,0.000101910042883,0.0049256520726803,60,588754.5358886719,2900.0,1.8856180831641267,47.0,48.333333333333336,51.0,z,Broadcast,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,router
929770,Texas Instruments,0.0001019093757391,0.0049256198273906,60,588758.3901367188,2900.0,1.8856180831641267,47.0,48.333333333333336,51.0,z,Broadcast,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,router
929771,GreenPeak Technologies,0.0002652056905567,0.0145570370277662,154,580681.3559570312,8453.0,6.2538940474951,51.0,54.88961038961039,65.0,z,Broadcast,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,smart_speaker
929772,ASUSTek COMPUTER INC.,269.2885621649385,122795.58434721196,2,0.0074269771575927,912.0,0.0,456.0,456.0,456.0,w,Not Found,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,router
929773,ASUSTek COMPUTER INC.,1.0,456.0,1,1.0,456.0,0.0,456.0,456.0,456.0,w,Not Found,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,router
929774,ASUSTek COMPUTER INC.,368.7705462138696,168159.36907352458,4,0.0108468532562255,1824.0,0.0,456.0,456.0,456.0,w,Not Found,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,router
929776,"Samsung Electronics Co.,Ltd",0.0095120331774002,0.70117273136265,63,6623.189682483673,4644.0,9.467452300446224,72.0,73.71428571428571,126.0,w,ASUSTek COMPUTER INC.,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,mobile
929777,ASUSTek COMPUTER INC.,30.49567512414781,13906.0278566114,3,0.098374605178833,1368.0,0.0,456.0,456.0,456.0,w,Not Found,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,router
929778,"Google, Inc.",0.0084756397473788,0.8387493094006094,25,2949.629850387573,2474.0,25.979191673337336,74.0,98.96,126.0,w,ASUSTek COMPUTER INC.,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,mobile
929779,ASUSTek COMPUTER INC.,168.1420725596312,76672.78508719182,3,0.0178420543670654,1368.0,0.0,456.0,456.0,456.0,w,Not Found,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,router
929781,ASUSTek COMPUTER INC.,173.0359124569401,78904.37608036469,2,0.0115582942962646,912.0,0.0,456.0,456.0,456.0,w,Not Found,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,router
929782,ASUSTek COMPUTER INC.,43.73113314925096,19941.39671605844,6,0.1372020244598388,2736.0,0.0,456.0,456.0,456.0,w,Not Found,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,router
929783,ASUSTek COMPUTER INC.,255.5684370874378,116539.20731187164,3,0.0117385387420654,1368.0,0.0,456.0,456.0,456.0,w,Not Found,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,router
929784,ASUSTek COMPUTER INC.,281.62922178204525,128422.92513261264,2,0.0071015357971191,912.0,0.0,456.0,456.0,456.0,w,Not Found,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,router
929787,ASUSTek COMPUTER INC.,1.0,210.0,1,1.0,210.0,0.0,210.0,210.0,210.0,w,Tuya Smart Inc.,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,router
929788,ASUSTek COMPUTER INC.,101.95940394292244,46493.48819797263,2,0.0196156501770019,912.0,0.0,456.0,456.0,456.0,w,Not Found,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,router
